sample	centroid	salinity	plant	replicate	groups
H1A	HA	H	A	1	H1
H1L	HL	H	L	1	H1
H1N	HN	H	N	1	H1
H1R	HR	H	R	1	H1
H1S	HS	H	S	1	H1
H2A	HA	H	A	2	H1
H2L	HL	H	L	2	H2
H2N	HN	H	N	2	H2
H2R	HR	H	R	2	H2
H2S	HS	H	S	2	H2
H3A	HA	H	A	3	H2
H3L	HL	H	L	3	H2
H3N	HN	H	N	3	H2
H3R	HR	H	R	3	H1
H3S	HS	H	S	3	H1
L1A	LA	L	A	1	L
L1L	LL	L	L	1	L
L1N	LN	L	N	1	L
L1R	LR	L	R	1	L
L1S	LS	L	S	1	L
L2A	LA	L	A	2	L
L2L	LL	L	L	2	NA
L2N	LN	L	N	2	L
L2R	LR	L	R	2	L
L2S	LS	L	S	2	L
L3A	LA	L	A	3	L
L3L	LL	L	L	3	L
L3N	LN	L	N	3	L
L3R	LR	L	R	3	L
L3S	LS	L	S	3	L
