# Constructed from biom file
#OTU ID	H1A	H2A	H3A	H1L	H2L	H3L	H1N	H2N	H3N	H1R	H2R	H3R	H1S	H2S	H3S	L1A	L2A	L3A	L1L	L2L	L3L	L1N	L2N	L3N	L1R	L2R	L3R	L1S	L2S	L3S
Unassigned;Other;Other;Other;Other;Other	0.028857845389	0.0241294447116	0.023224511213	0.0341488277268	0.0238402335833	0.025124558191	0.0316756087495	0.0162191277979	0.023800651318	0.0231195611591	0.0226184056086	0.0421895692754	0.0332529579992	0.025886268268	0.0531306497436	0.0327134986226	0.0276090960483	0.0278716940979	0.0192331709754	0.0868911469908	0.031102060247	0.020697663828	0.0382559456399	0.0288317256163	0.0178412312677	0.0287002300341	0.0236466543977	0.0253878702398	0.0243068118278	0.0256691665142
k__Archaea;p__Crenarchaeota;c__;o__;f__;g__	2.7020454484e-05	2.8287742921e-05	0.0	0.00015512121615	0.0	1.41946656447e-05	5.15889393314e-05	0.0	0.0	5.7439903501e-05	3.17228690163e-05	0.000227029072334	9.34596908353e-05	0.0	0.000455054176044	2.86960514233e-05	0.000164122763827	0.000154461358917	8.3260480413e-05	0.000240579073831	2.6447330142e-05	0.000136618243089	0.000305775764439	8.5744908896e-05	8.1004455245e-05	0.000216139440816	0.000121531997639	0.000205688763517	3.28914909713e-05	0.000121943783916
k__Archaea;p__Crenarchaeota;c__AAG;o__;f__;g__	0.000297224999324	8.4863228763e-05	0.0	0.000398883127244	0.000113389933809	4.2583996934e-05	0.000240748383547	0.0	6.48077639701e-05	0.000100519831127	1.58614345081e-05	0.00049189632339	3.73838763341e-05	0.0	0.000774821975427	5.73921028466e-05	1.82358626475e-05	0.000102974239278	0.000124890720619	0.00189456020642	7.93419904261e-05	0.000159387950271	0.000113250283126	0.0	8.1004455245e-05	7.71926574344e-05	8.6808569742e-05	8.81523272214e-05	8.22287274282e-05	0.00010161981993
k__Archaea;p__Crenarchaeota;c__MBGA;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24038819851e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7162373213e-05	0.0	8.11954374179e-05	0.0	0.0	2.26500566251e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__	0.00189143181388	0.00322480269299	0.000273766340428	0.0066923724682	0.000921293212195	0.000865874604324	0.00280299903701	0.000119698360132	0.00179841545017	0.00195295671903	0.000237921517622	0.00437661600555	0.00242995196172	0.000144696860078	0.00812948136123	0.00146349862259	0.00138592556121	0.00320936379082	0.000603638482994	0.0131747115307	0.00119012985639	0.00102463682317	0.00223103057758	0.00190782422294	0.000506277845281	0.00128139811341	0.00114587312059	0.00155735778091	0.00136499687531	0.0013007336951
k__Archaea;p__Crenarchaeota;c__MCG;Other;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45975230294e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__	0.000108081817936	0.00056575485842	0.0	0.00128529007667	0.000155911158987	0.000127751990802	0.000395515201541	0.0	0.000226827173895	0.000344639421006	4.75843035244e-05	0.000592798133317	0.000373838763341	0.00013022717407	0.00086091330603	0.00060261707989	0.000674726917957	0.00161326308202	0.000562008242788	0.00627309935014	0.000899209224829	0.00107017623753	0.000702151755379	0.000814576634512	0.000587282300527	0.000370524755685	0.00076391541373	0.00105782792666	0.000986744729139	0.00075198666748
k__Archaea;p__Crenarchaeota;c__MCG;o__B10;f__;g__	0.00159420681456	0.00226301943368	0.000547532680857	0.00449851526836	0.00131815798053	0.00061037062272	0.00146168661439	0.000618441527351	0.00113413586948	0.00109135816652	0.000333090124671	0.00210632528221	0.00203742126021	0.000274924034148	0.00350514703169	0.000975665748393	0.00120356693473	0.00175056206772	0.00110320136547	0.00225242157874	0.00195710243051	0.00202650393916	0.00263873159683	0.00064308681672	0.00123531794249	0.001173328393	0.00097225598111	0.00164551010813	0.00156234582114	0.00189012865069
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__;g__	0.000756572725553	0.00152753811773	0.000136883170214	0.00274786154323	0.000212606125891	0.000780706610456	0.000962993534186	0.000219446993576	0.000696683462679	0.000976478359516	6.34457380325e-05	0.000933341741817	0.0017570421877	2.89393720156e-05	0.00168493032752	0.00229568411387	0.00251654904535	0.00269449259444	0.00170683984847	0.00394850404925	0.00190420777023	0.00188988569607	0.00250283125708	0.00171489817792	0.00157958687728	0.00137402930233	0.00144102225772	0.0024682651622	0.00292734269644	0.00186980468671
k__Archaea;p__Crenarchaeota;c__MHVG;o__;f__;g__	5.40409089681e-05	0.00028287742921	0.000228138617024	0.000265922084829	7.08687086304e-05	0.000127751990802	0.000206355757326	9.97486334437e-05	6.48077639701e-05	0.000114879807002	3.17228690163e-05	0.000176578167371	7.47677526683e-05	0.000202575604109	0.000455054176044	5.73921028466e-05	3.6471725295e-05	0.000188786105343	2.08151201032e-05	0.000357861372323	2.6447330142e-05	6.83091215447e-05	5.66251415629e-05	2.1436227224e-05	0.000182260024301	6.17541259475e-05	0.00010417028369	0.000176304654443	1.64457454856e-05	4.06479279719e-05
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;Other	0.0	0.0	0.000205324755321	0.0	0.00116224682154	0.0	0.0	0.00113713442126	9.72116459552e-05	0.0	0.000301367255655	0.0	0.0	0.000636666184344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__	0.0	0.000169726457526	0.00116350694682	0.0	0.00150241662296	5.67786625786e-05	0.0	0.0049674819455	3.24038819851e-05	1.43599758752e-05	0.000158614345081	0.0	0.0	0.00214151352916	2.45975230294e-05	8.608815427e-05	0.0	5.14871196389e-05	8.3260480413e-05	0.0	2.6447330142e-05	2.27697071816e-05	2.26500566251e-05	2.1436227224e-05	0.000182260024301	3.08770629738e-05	0.0	0.000146920545369	0.0	2.03239639859e-05
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Cenarchaeum	0.0	0.0	0.0	0.0	9.92161920825e-05	0.0	0.0	7.9798906755e-05	0.0	0.0	4.75843035244e-05	0.0	0.0	1.44696860078e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	0.0	0.00206500523323	0.0109050258937	6.64805212073e-05	0.00222527745099	0.00315121577311	6.87852524419e-05	0.00658340980729	0.00102072228253	0.000244119589879	0.000729625987374	0.000302705429779	7.47677526683e-05	0.0033280277818	0.000110688853632	0.00275482093664	0.000820613819137	0.00137298985704	0.00118646184588	2.10506689602e-05	0.00238025971278	0.00145726125962	0.00035107587769	0.000514469453376	0.00303766707169	0.00151297608571	0.00086808569742	0.00161612599906	0.000394697891655	0.000691014775522
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__	0.0	0.0	0.0	0.0	0.0	1.41946656447e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73921028466e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02511138113e-05	3.08770629738e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	2.7020454484e-05	2.8287742921e-05	0.000159697031917	0.0	0.0003259960597	0.0	0.0	0.000418944260464	3.24038819851e-05	0.0	6.34457380325e-05	2.52254524816e-05	1.86919381671e-05	4.34090580234e-05	0.0	0.0	5.47075879424e-05	0.0	6.24453603097e-05	0.0	5.2894660284e-05	2.27697071816e-05	3.39750849377e-05	6.4308681672e-05	6.07533414338e-05	9.26311889213e-05	3.47234278968e-05	5.87682181476e-05	3.28914909713e-05	6.09718919578e-05
k__Archaea;p__Euryarchaeota;c__ANME-1;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26127262408e-05	0.0	0.0	0.0	0.0	0.000127651038532	3.43247464259e-05	0.000228966321136	0.0	0.000158683980852	0.000204927364634	0.000158550396376	0.00010718113612	2.02511138113e-05	9.26311889213e-05	3.47234278968e-05	0.000499529854255	0.000230240436799	0.0
k__Archaea;p__Euryarchaeota;c__DSEG;o__104A5;f__;g__	0.0	5.6575485842e-05	0.0	2.21601737358e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.52254524816e-05	0.0	0.0	0.000110688853632	2.86960514233e-05	0.0	3.43247464259e-05	0.0	0.000111267821647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__DSEG;o__ArcA07;f__;g__	0.000108081817936	0.00028287742921	0.0	0.000487523822187	0.000155911158987	1.41946656447e-05	0.000257944696657	3.98994533775e-05	0.000291634937866	0.000129239782877	4.75843035244e-05	0.00016396544113	0.000504682330511	1.44696860078e-05	0.000836315783001	5.73921028466e-05	0.000310009665007	0.000188786105343	2.08151201032e-05	0.00101043211009	2.6447330142e-05	2.27697071816e-05	6.79501698754e-05	8.5744908896e-05	4.05022276225e-05	0.000138946783382	1.73617139484e-05	5.87682181476e-05	9.86744729139e-05	0.000203239639859
k__Archaea;p__Euryarchaeota;c__DSEG;o__HydGC-84-221A;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.55394143631e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99497266887e-05	0.0	0.0	1.58614345081e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75843035244e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacteriaceae	0.0	0.0	0.0	0.0	5.66949669043e-05	0.0	0.0	0.0	0.0	0.0	1.58614345081e-05	0.0	0.0	2.89393720156e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium	0.0	0.0	0.0	0.0	2.83474834522e-05	0.0	0.0	3.98994533775e-05	1.62019409925e-05	0.0	7.93071725407e-05	0.0	3.73838763341e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halogeometricum	0.0	0.0	0.0	0.0	8.50424503565e-05	0.0	0.0	9.97486334437e-05	0.0	0.0	9.51686070488e-05	0.0	0.0	2.89393720156e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halolamina	0.0	0.0	0.0	0.0	2.83474834522e-05	0.0	0.0	0.0	0.0	0.0	4.75843035244e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Natronomonas	0.0	0.0	0.0	0.0	2.83474834522e-05	0.0	0.0	3.98994533775e-05	0.0	0.0	7.93071725407e-05	0.0	0.0	4.34090580234e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__;g__	5.40409089681e-05	8.4863228763e-05	0.0	0.000243761911093	0.0	0.0	1.71963131105e-05	0.0	0.0	1.43599758752e-05	0.0	0.00016396544113	7.47677526683e-05	0.0	0.000282871514838	0.0	0.0	0.000188786105343	0.0	0.00027065145806	0.0	2.27697071816e-05	3.39750849377e-05	0.0	0.0	4.63155944607e-05	5.20851418452e-05	0.000117536436295	9.86744729139e-05	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__MSBL1;g__SAGMEG-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.72099142636e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86494928519e-05	0.0	0.0	0.0	4.55394143631e-05	5.66251415629e-05	6.4308681672e-05	0.0	0.0	0.0	0.0	0.0	2.03239639859e-05
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__WSA2;g__	0.0	0.0	0.0	4.43203474715e-05	0.0	0.0	3.43926262209e-05	0.0	0.0	0.0	0.0	1.26127262408e-05	0.0	0.0	3.68962845441e-05	0.0	7.29434505899e-05	6.86494928519e-05	6.24453603097e-05	3.30796226517e-05	0.0	6.83091215447e-05	3.39750849377e-05	8.5744908896e-05	0.0	0.0	3.47234278968e-05	5.87682181476e-05	6.57829819426e-05	0.0
k__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63155944607e-05	3.47234278968e-05	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__F99a103;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11793132374e-05	5.14871196389e-05	0.0	6.01447684577e-06	2.6447330142e-05	0.0	1.13250283126e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__	0.0	0.0	0.0	0.0	0.0	4.2583996934e-05	0.0	0.0	3.24038819851e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.86960514233e-05	0.000182358626475	0.000137298985704	8.3260480413e-05	0.0	0.000158683980852	6.83091215447e-05	9.06002265006e-05	0.000128617363344	4.05022276225e-05	7.71926574344e-05	5.20851418452e-05	0.000323225199812	9.86744729139e-05	0.000142267747902
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86960514233e-05	0.000237066214417	8.58118660648e-05	0.0	0.0	5.2894660284e-05	9.10788287263e-05	4.53001132503e-05	6.4308681672e-05	4.05022276225e-05	6.17541259475e-05	6.94468557936e-05	8.81523272214e-05	9.86744729139e-05	4.06479279719e-05
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000143480257117	1.82358626475e-05	0.000240273224982	0.0	0.0	0.0	0.0	0.0	4.2872454448e-05	0.0	7.71926574344e-05	0.0	2.93841090738e-05	0.0	2.03239639859e-05
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73921028466e-05	0.0	0.0	2.08151201032e-05	0.0	0.0	2.27697071816e-05	3.39750849377e-05	2.1436227224e-05	2.02511138113e-05	1.54385314869e-05	0.0	5.87682181476e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06479279719e-05
